Sampling point	Site	Site_point	Richness	Shannon	x	y	Maturity Index [MEAN]	Plant Parasitic Index [MEAN]	Enrichment Index [MEAN]	Structure Index [MEAN]	Total number, ind [MEAN]	Herbivores, % of total	Fungivores, % of total	Fungivores, % of free-living	Bacterivores, % of total	Bacterivores, % of free-living	Predators, % of total	Predators, % of free-living	Omnivores, % of total	Omnivores, % of free-living	Sedentary parasites, % of herbivores	Migratory endoparasites, % of herbivores	Semi-endoparasites, % of herbivores	Ectoparasites, % of herbivores	Epidermal/root hair feeders, % of herbivores	Algal/lichen/moss feeders, % of herbivores	CP 1, % of free-living	CP 2, % of free-living	CP 3, % of free-living	CP 4, % of free-living	CP 5, % of free-living	PP 2, % of herbivores	PP 3, % of herbivores	PP 4, % of herbivores	PP 5, % of herbivores	Rich_bact	Rich_fung	Rich_herb	Rich_omn	Rich_pred	Div_bact	Div_fung	Div_herb	Div_omn	Div_pred
JIM10--30	JIM	JIM1030	24	2.546978188	71.094	65.013	2.92	3.17	50	83.92	10.47	12	43	48.9	33	37.5	7	8	5	5.7	0	25	0	75	0	0	2.3	37.5	27.3	31.8	1.1	0	83.3	16.7	0	9	2	5	4	4	1.950040479	0.605092477	1.589026915	1.332179039	1.153741941
JIM10--40	JIM	JIM1040	21	2.26114455	66.464	54.982	2.51	2.27	35.62	61.71	16.85	30	30	42.9	34	48.6	3	4.3	3	4.3	0	0	0	96.7	3.3	0	1.4	67.1	10	21.4	0	73.3	26.7	0	0	9	3	4	3	2	1.594622785	0.519717389	0.815985973	1.098612289	0.636514168
JIM10--50	JIM	JIM1050	23	2.394403794	63.192	45.312	3.1	2.57	35.56	87.97	15.82	7	43	46.2	37	39.8	4	4.3	9	9.7	0	0	0	85.7	14.3	0	0	31.2	31.2	34.4	3.2	42.9	57.1	0	0	9	4	4	3	3	1.763632021	1.153429123	1.351783994	1.098612289	1.039720771
JIM20-00	JIM	JIM200	25	2.725263817	72.982	95.413	3.06	2.66	46.34	86.83	23	35	22	33.8	27	41.5	5	7.7	11	16.9	0	0	14.3	85.7	0	0	1.5	33.8	26.2	33.8	4.6	34.3	65.7	0	0	10	2	5	4	4	2.065727897	0.772090597	1.386989712	1.120950392	1.33217904
JIM20--10	JIM	JIM2010	20	2.316205889	68.781	87.419	2.74	2.77	52.31	75.4	11.63	41.9	35.2	60.7	10.5	18	6.7	11.5	5.7	9.8	0	11.4	6.8	81.8	0	0	1.6	50.8	19.7	27.9	0	22.7	77.3	0	0	7	3	6	2	2	1.846220219	0.951996324	1.269594877	0.450561208	0.598269589
JIM20-20	JIM	JIM2020	23	2.638004268	64.857	77.912	2.74	3	58.62	81.35	10.83	10	23	25.6	50	55.6	8	8.9	9	10	0	10	0	90	0	0	7.8	40	31.1	12.2	8.9	0	100	0	0	13	2	2	3	3	2.244570049	0.075550841	0.325082974	0.936888308	0.900256052
JIM20-30	JIM	JIM2030	21	2.093987889	60.982	68.471	2.75	2.31	49.09	74.66	18.06	48	33	63.5	9	17.3	7	13.5	3	5.8	0	0	0	97.9	2.1	0	1.9	53.8	15.4	25	3.8	77.1	14.6	8.3	0	7	2	6	2	4	1.831020481	0.617313962	0.930710741	0.636514168	1.153741943
JIM20-40	JIM	JIM2040	20	2.250816494	57.089	59.23	3.01	2.23	47.06	85.85	13.46	22	44	56.4	21	26.9	6	7.7	7	9	0	0	0	100	0	0	0	34.6	29.5	35.9	0	77.3	22.7	0	0	7	3	4	3	3	1.537703497	0.38597013	0.751930466	0.955699891	0.867563228
JIM20-50	JIM	JIM2050	23	2.1416512	54.761	48.656	2.44	2.71	45.19	56.41	24.04	21	50	63.3	20	25.3	5	6.3	4	5.1	0	0	0	100	0	0	0	72.2	15.2	8.9	3.8	28.6	71.4	0	0	8	3	5	2	5	1.877524282	1.36508283	1.426533729	0.693147181	1.609437912
JIM30-0	JIM	JIM300	17	2.318110124	62.749	97.716	2.82	2.9	43.33	77.99	7.5	29	37	52.1	28	39.4	1	1.4	5	7	0	0	0	89.7	10.3	0	0	47.9	23.9	26.8	1.4	10.3	89.7	0	0	8	3	4	2	1	1.810080943	0.298906684	1.1140516	0.500402424	0
